Wave,Week,week_start_date,interpolated,nQ16_r1,nQ16_r2,nQ16_r3,nQ16_r4,nQ16_r5,nQ16_r6,nQ16_r7,nQ16_r8,nQ16_r9,nQ16_r10,nQ16_r11,nQ16_r12,nQ16_r13,nQ16_r14,nQ16_r15,nQ16_r16,tQ18_0_0,nQ23_0_0,nQ23_1_0,nQ23_2_0,nQ23_3_0,nQ23_4_0,nQ23_5_0,nQ23_6_0,nQ23_7_0,nQ23_8_0,nQ23_9_0,nQ23_10_0,nQ23_11_0,nQ23_12_0,nQ23_13_0,PAQ_nakupovani,PAQ_park_mesto,PAQ_MHD,PAQ_HO,PAQ_partHO,PAQ_work,Contacts,,Fear,Median
1,10,02.03.2020,0,0.357681979096325,0.821252977149628,0.794444249816377,0.30917525229528,0.26896870712188,0.593625751413176,0.064216941391783,0.080492862290485,0.029204083974452,0.126859165131508,0.163258599076697,0.04143429434714,NA,NA,NA,NA,22.3556425396767,0.761163121717211,0.893153076658691,0.873315832344392,0.897491557421522,0.678271871111402,0.619077811690317,0.77521693606887,0.555950102813455,0.638838060620814,0.86711576770978,0.558049186919762,0.534204288555938,0.005871466517405,0.005871466517405,,,,,,,22.35564254,,0.5,10
1,11,09.03.2020,0,0.275711732399067,0.737257146725051,0.682716387402164,0.19021388767253,0.197608510689941,0.465589749127943,0.046956113224032,0.023306819066539,0.012633690046187,0.064373118880118,0.086574307928733,0.024821531872639,NA,NA,NA,NA,16.5838520318341,0.761163121717211,0.893153076658691,0.873315832344392,0.897491557421522,0.678271871111402,0.619077811690317,0.77521693606887,0.555950102813455,0.638838060620814,0.86711576770978,0.558049186919762,0.534204288555938,0.005871466517405,0.005871466517405,0.74,,0.28,,,,16.58385203,,,10
2,12,16.03.2020,0,0.140578117942409,0.726308589850869,0.62308342913999,0.029700935965301,0.131291277822573,0.395710363750959,0.019730512553596,NA,NA,0.011130931424882,0.045224763330277,0.014439304549586,0.1692876697651,0.044884213474452,NA,NA,8.17043580956965,0.756781333208466,0.854813222254233,0.956101753346581,0.891645994328562,0.70455974557767,0.608849682015891,0.783848029082995,0.540230740666341,0.64382216508776,0.851018662932477,0.564897782045808,0.43765585018617,0.005442129030861,0.669673665362332,0.705,0.06,0.19,0.200692386815113,0.11,0.57,8.17043581,,0.5,4
2,13,23.03.2020,0,0.099797605003073,0.671649873632915,0.514642678942127,0.009114507627936,0.095677810114525,0.328370238254673,NA,NA,NA,NA,0.027629403986962,0.007277249426529,0.12315232765667,0.035325866280015,NA,NA,7.1799369324668,0.756781333208466,0.854813222254233,0.956101753346581,0.891645994328562,0.70455974557767,0.608849682015891,0.783848029082995,0.540230740666341,0.64382216508776,0.851018662932477,0.564897782045808,0.43765585018617,0.005442129030861,0.669673665362332,0.67,0.12,0.1,0.215346564881007,0.1,0.51,7.179936932,,,3
3,14,30.03.2020,0,0.148724814450945,0.709958307227699,0.557865480477694,0.016063920368598,0.121820752636881,0.398545755777249,0.039711139820944,NA,NA,0.013591324233322,0.036892659847123,0.012767360314665,0.169016407203535,0.066841587435063,NA,NA,9.56271458673022,0.713911429060027,0.822887151809427,0.946245528077228,0.86320813171497,0.763345280825406,0.569894497410055,0.743093703654058,0.52001900527251,0.63369860051504,0.812515370312464,0.502511615468366,0.441628710032193,0.013472396909196,0.543962689453892,0.67,0.13,0.115,0.222466810607303,0.11,0.52,9.562714587,,0.38,4
3,15,06.04.2020,0,0.127252400598674,0.67161082045135,0.519796084368366,0.017643096325772,0.102092869764421,0.399583195042625,0.035274690274372,NA,NA,0.013827578610545,0.023608179314985,0.015656576266424,0.135875922799495,0.061339259606697,NA,NA,9.34525019193559,0.713911429060027,0.822887151809427,0.946245528077228,0.86320813171497,0.763345280825406,0.569894497410055,0.743093703654058,0.52001900527251,0.63369860051504,0.812515370312464,0.502511615468366,0.441628710032193,0.013472396909196,0.543962689453892,0.67,0.14,0.13,0.227332421155836,0.11,0.51,9.345250192,,,5
4,16,13.04.2020,0,0.151650103573917,0.710167112462176,0.61645624976648,0.026289468917241,0.130301467557457,0.471070058697441,0.059194127249931,NA,NA,0.018609776457701,0.043951072262795,0.014880026038643,0.229582015282801,0.096946793571762,NA,NA,10.7712450991547,0.661463219414725,0.78490988990838,0.946299253750576,0.83492667823116,0.765190786150476,0.555730394154942,0.704842964662453,0.499322724912679,0.609560432694745,0.772186679160758,0.465409431757705,0.428178206333865,0.012595713651964,0.41826762887356,0.69,0.17,0.14,0.210078386925919,0.11,0.53,10.7712451,,0.31,5
4,17,20.04.2020,0,0.145945561964525,0.710716353560224,0.581548721129079,0.027187254331112,0.132920234314611,0.478516734015327,0.063904888510066,NA,NA,0.022819694417753,0.044672954434739,0.014504831827394,0.197778268273546,0.081344664446139,NA,NA,11.1137815925763,0.661463219414725,0.78490988990838,0.946299253750576,0.83492667823116,0.765190786150476,0.555730394154942,0.704842964662453,0.499322724912679,0.609560432694745,0.772186679160758,0.465409431757705,0.428178206333865,0.012595713651964,0.41826762887356,0.71,0.2,0.15,0.194553899828854,0.13,0.55,11.11378159,,,5
5,18,27.04.2020,0,0.187278282731906,0.757923962915649,0.662737445104401,0.051243491338818,0.170025976821864,0.554541001237578,0.094874087241109,NA,NA,0.039216631136597,0.05697950210749,0.016222775637819,0.27755281076459,0.120087394275375,0.009615080188175,0.04344552207034,12.841879184464,0.660099946474653,0.747766610736529,0.937479360547814,0.793834133238144,0.76877485975,0.513030162505014,0.665752408258669,0.4792775173305,0.570891840330459,0.733035056118502,0.439257473473293,0.408225329481868,0.013741590887639,0.344430430013608,0.72,0.22,0.17,0.184823940469549,0.11,0.6,12.84187918,,0.26,6
5,19,04.05.2020,0,0.192183382015783,0.732049894186226,0.61847454661474,0.061048542809431,0.16172997814941,0.5821528740664,0.091764047239749,NA,NA,0.045089422752865,0.055110358257743,0.015003705392552,0.243910799125416,0.117792791457982,0.010562537579941,0.047188933218787,13.5227244772591,0.660099946474653,0.747766610736529,0.937479360547814,0.793834133238144,0.76877485975,0.513030162505014,0.665752408258669,0.4792775173305,0.570891840330459,0.733035056118502,0.439257473473293,0.408225329481868,0.013741590887639,0.344430430013608,0.73,0.24,0.19,0.152940819194648,0.11,0.65,13.52272448,,,7
6,20,11.05.2020,0,0.257520619405677,0.780902155427978,0.688276382873716,0.168306124981371,0.216708365001903,0.625074914952108,0.100431442736304,0.014184801153169,NA,0.059488689341333,0.098066057931675,0.02207828223843,0.300955170645346,0.137716639115958,0.011177080144496,0.046247373807054,15.5718517190913,0.628108890491892,0.692777122067837,0.88414742873288,0.704149760113684,0.770108278114019,0.499521509038996,0.608133317060378,0.45070626203409,0.549436285931913,0.704602831929786,0.423058778960713,0.428759027841463,0.018263170573359,0.253850582592702,0.745,0.25,0.22,0.130539872999278,0.09,0.69,15.57185172,,0.25,10
6,21,18.05.2020,0,0.250926036386208,0.765680185244896,0.669809979776618,0.218536774652876,0.224882008184859,0.591035501577127,0.093232051260656,0.024744269764298,NA,0.065115249820421,0.093196033706603,0.022006477685983,0.261473548525521,0.111253593429116,0.00827625847451,NA,16.7320685957619,0.628108890491892,0.692777122067837,0.88414742873288,0.704149760113684,0.770108278114019,0.499521509038996,0.608133317060378,0.45070626203409,0.549436285931913,0.704602831929786,0.423058778960713,0.428759027841463,0.018263170573359,0.253850582592702,0.76,0.26,0.25,0.121802797041034,0.09,0.7,16.7320686,,,10
7,22,25.05.2020,0,0.303235746024402,0.811202642559788,0.730055025717164,0.31319272777416,0.286966878529438,0.682239487224633,0.120160513131228,0.037361952661751,NA,0.08891242129973,0.124354161112975,0.0266843578322,0.331937882103577,0.159765718258712,0.014218985818759,0.083070491952287,18.7480606878852,0.581051474393907,0.590191544112123,0.771930590156451,0.607249208776721,0.724310146076668,0.467151291413065,0.516936412877876,0.423705032050018,0.507367939415409,0.665701030505034,0.401111063922179,0.438465770566103,0.040896097589414,0.177914094396214,0.785,0.275,0.275,0.104860163806031,0.09,0.77,18.74806069,,0.21,10
7,23,01.06.2020,0,0.303939775501349,0.812474431284325,0.723867669318795,0.360784151827645,0.257635460737474,0.642946343188166,0.134629705679907,0.048405643435788,NA,0.090799145559189,0.124493018832765,0.028462772178422,0.293439037257287,0.136262920713929,0.019097631070079,NA,20.1054991652142,0.581051474393907,0.590191544112123,0.771930590156451,0.607249208776721,0.724310146076668,0.467151291413065,0.516936412877876,0.423705032050018,0.507367939415409,0.665701030505034,0.401111063922179,0.438465770566103,0.040896097589414,0.177914094396214,0.81,0.29,0.3,0.096582888674803,0.08,0.79,20.10549917,,,10
8,24,08.06.2020,0,0.384928653400291,0.844476936044058,0.779768214696807,0.432569027620966,0.368398185739029,0.709462001468707,0.166160418697382,0.077696141643441,0.032548935983149,0.108263063386294,0.205480058253174,0.048905253028399,0.404829332903481,0.190374850275614,0.026464586140863,0.134114731075001,22.556463427283,0.55689868468114,0.526723137803956,0.712500139779636,0.55273920376214,0.687297647032889,0.448139371617622,0.474122890178692,0.397966674883273,0.479735886397168,0.652233168507828,0.388700712182398,0.452251905457345,0.038761791710637,0.139272747414444,0.816666667,0.31,0.323333333,0.083193357753739,0.075,0.8,22.55646343,,0.21,15
8,25,15.06.2020,0,0.365713254689026,0.826552834362511,0.770710851523661,0.445639616892221,0.314620110515887,0.690810997410495,0.157509855074217,0.079754751861139,0.035088717464633,0.10312787609472,0.185175822591923,0.043233667356638,0.354769493653044,0.16272199018502,0.033906963747165,0.129812913541995,23.8578664685323,0.55689868468114,0.526723137803956,0.712500139779636,0.55273920376214,0.687297647032889,0.448139371617622,0.474122890178692,0.397966674883273,0.479735886397168,0.652233168507828,0.388700712182398,0.452251905457345,0.038761791710637,0.139272747414444,0.823333333,0.33,0.346666667,0.080591561085601,0.07,0.82,23.85786647,,,14
9,26,22.06.2020,1,0.362655429347119,0.836326585303837,0.783090448552213,0.463090833367157,0.306599900926583,0.705948352629258,0.194320905412889,0.079452036482436,0.035379138685432,0.101464692655187,0.209892171647751,0.048576800253151,0.392281273089283,0.177911132559388,0.034912162767685,0.126222446017215,23.2596970275061,0.556748453752592,0.519146851573045,0.499490152573974,0.522351404848654,0.666286551524339,0.450454024696787,0.458947607243942,0.386517006090129,0.459707097194754,0.633331134676867,0.370780747317367,0.442872055702563,0.051352655461399,0.136258570124213,0.83,0.35,0.37,0.079736211970265,0.06,0.81,23.25969703,,0.27,14
9,27,29.06.2020,0,0.359597604005212,0.846100336245162,0.795470045580764,0.480542049842094,0.298579691337278,0.721085707848021,0.231131955751561,0.079149321103733,0.035669559906231,0.099801509215654,0.23460852070358,0.053919933149664,0.429793052525523,0.193100274933756,0.035917361788204,0.122631978492436,22.6615275864799,0.556598222824045,0.511570565342133,0.286480165368312,0.491963605935169,0.64527545601579,0.452768677775952,0.443772324309191,0.375067337296986,0.439678307992339,0.614429100845905,0.352860782452336,0.433492205947781,0.06394351921216,0.133244392833981,0.823333333,0.353333333,0.363333333,0.078880862854929,0.06,0.78,22.66152759,,,
9,28,06.07.2020,0,0.349982274670987,0.812864712715547,0.778162571694208,0.485989099146443,0.267835183931579,0.65662353007793,0.223389979057696,0.066860862295769,NA,0.095289909375489,0.214819291134764,0.04829911663265,0.362089505522452,0.165833453611194,0.037823858717177,0.113713837905248,22.9311643980083,0.556598222824045,0.511570565342133,0.286480165368312,0.491963605935169,0.64527545601579,0.452768677775952,0.443772324309191,0.375067337296986,0.439678307992339,0.614429100845905,0.352860782452336,0.433492205947781,0.06394351921216,0.133244392833981,0.816666667,0.356666667,0.356666667,0.068357495144671,0.06,0.74,22.9311644,,,15
10,29,13.07.2020,1,0.355356422601527,0.818111863164747,0.78038877336808,0.492557001454922,0.284412148463047,0.668342925058414,0.236260307220334,0.072453252782417,#VALUE!,0.099496017074477,0.235539842039149,0.049939235633562,0.378656677013652,0.180600742360924,0.043050431607221,0.122469414232013,22.5026174980569,0.550629907495198,0.521977048198851,0.298338127782934,0.503689835076798,0.63713787132052,0.446677246212579,0.440555137681875,0.378682439654635,0.42864278054459,0.60613126489451,0.349452456582059,0.425785579652543,0.065158041003115,0.132109434273301,0.81,0.36,0.35,0.072801783947862,0.06,0.72,22.5026175,,0.23,15
10,30,20.07.2020,0,0.360730570532066,0.823359013613947,0.782614975041952,0.4991249037634,0.300989112994515,0.680062320038897,0.249130635382972,0.078045643269065,0.029861344603782,0.103702124773464,0.256260392943535,0.051579354634474,0.395223848504852,0.195368031110654,0.048277004497264,0.131224990558778,22.0740705981055,0.54466159216635,0.532383531055569,0.310196090197556,0.515416064218427,0.62900028662525,0.440585814649206,0.437337951054559,0.382297542012284,0.417607253096841,0.597833428943114,0.346044130711781,0.418078953357305,0.06637256279407,0.130974475712621,0.8,0.35,0.343333333,0.077246072751052,0.06,0.7,22.0740706,,,
10,31,27.07.2020,0,0.327186426456364,0.77525533481977,0.746787467834091,0.484132772380431,0.241054970991732,0.623298321411383,0.231922155385685,0.080972401722477,0.028258320816759,0.093374354680229,0.233096242599965,0.042365576169427,0.334547150332744,0.166954286350471,0.044739258553474,0.119635131145399,21.8755701256825,0.54466159216635,0.532383531055569,0.310196090197556,0.515416064218427,0.62900028662525,0.440585814649206,0.437337951054559,0.382297542012284,0.417607253096841,0.597833428943114,0.346044130711781,0.418078953357305,0.06637256279407,0.130974475712621,0.79,0.34,0.336666667,0.075857253994672,0.06,0.67,21.87557013,,,14
11,32,03.08.2020,1,0.345065976712885,0.799746037143901,0.769507877689914,0.480570985504773,0.276832289150245,0.655638288052429,0.233414749001012,0.090218571275559,#VALUE!,0.094143999299482,0.241723747483568,0.049112157928019,0.351703354957166,0.175314008834581,0.042181961032934,0.123572552367105,22.0447462049368,0.554634056300745,0.547015357731621,0.319642008052462,0.519163947465469,0.639972965256908,0.429136821111053,0.435064323075481,0.385899828641312,0.430245225043272,0.593794753539111,0.354125257747092,0.426857068166009,0.064258652870718,0.12727062011726,0.78,0.33,0.33,0.078966980409779,0.06,0.65,22.0447462,,0.28,12
11,33,10.08.2020,0,0.362945526969407,0.824236739468031,0.792228287545736,0.477009198629114,0.312609607308759,0.687978254693475,0.234907342616339,0.099464740828641,NA,0.094913643918735,0.250351252367172,0.055858739686611,0.368859559581588,0.183673731318691,0.039624663512393,0.127509973588811,22.2139222841911,0.564606520435139,0.561647184407672,0.329087925907368,0.522911830712511,0.650945643888565,0.4176878275729,0.432790695096402,0.38950211527034,0.442883196989703,0.589756078135107,0.362206384782404,0.435635182974712,0.062144742947365,0.123566764521898,0.786666667,0.323333333,0.333333333,0.082076706824885,0.06,0.69,22.21392228,,,
11,34,17.08.2020,0,0.341891188243572,0.796989407382691,0.774371874261441,0.470792861324028,0.268343066952295,0.637484157840891,0.205537477967373,0.105878585003589,0.042182903630672,0.09001152615213,0.23359843687706,0.044268004683585,0.309998334951005,0.170136506290865,0.034110827262225,0.122657637351371,23.1348655694268,0.564606520435139,0.561647184407672,0.329087925907368,0.522911830712511,0.650945643888565,0.4176878275729,0.432790695096402,0.38950211527034,0.442883196989703,0.589756078135107,0.362206384782404,0.435635182974712,0.062144742947365,0.123566764521898,0.793333333,0.316666667,0.336666667,0.077188017682661,0.06,0.72,23.13486557,,,15
